code,demand_2025
ES11,14.115501
ES12,8.506586
ES13,3.896435
ES21,15.043379
ES22,4.873654
ES23,1.571416
ES24,10.659902
ES30,28.875917
ES41,13.497832
ES42,12.524113
ES43,4.982758
ES51,44.637565
ES52,27.788971
ES53,6.313134
ES61,39.789315
ES62,9.57828
