Energías;Andalucía;Aragón;Asturias;Cantabria;Castilla - La Mancha;Castilla y León;Cataluña;Ceuta;Madrid;Comunidad Valenciana;Extremadura;Galicia;Baleares;Canarias;La Rioja;Melilla;Murcia;Navarra;País Vasco;Nacional
Eólica;3706.78;6060.569;702.075;35.307;4982.524;7750.647;1418.32;0;0;1243.03;98.775;4028.94;3.558;677.435;511.92;0;264.09;1634.852;155.372;33274.194
Solar Fotovoltaica;10662.693;3695.222;1.226;4.988;8617.652;5338.408;459.1;0;193.446;620.402;8511.859;23.494;375.673;332.225;197.277;0.06;2170.366;395.814;60.187;41660.091
